ticker,revenue_yoy
0050.TW,0.0
0051.TW,0.0
0052.TW,0.0
0053.TW,0.0
0055.TW,0.0
0056.TW,0.0
0057.TW,0.0
0061.TW,0.0
006201.TWO,0.0
006203.TW,0.0
006204.TW,0.0
006205.TW,0.0
006206.TW,0.0
006207.TW,0.0
006208.TW,0.0
00625K.TW,0.0
00631L.TW,0.0
00632R.TW,0.0
00633L.TW,0.0
00634R.TW,0.0
00635U.TW,0.0
00636.TW,0.0
00636K.TW,0.0
00637L.TW,0.0
00638R.TW,0.0
00639.TW,0.0
00640L.TW,0.0
00641R.TW,0.0
00642U.TW,0.0
00643.TW,0.0
00643K.TW,0.0
00645.TW,0.0
00646.TW,0.0
00647L.TW,0.0
00648R.TW,0.0
00650L.TW,0.0
00651R.TW,0.0
00652.TW,0.0
00653L.TW,0.0
00654R.TW,0.0
00655L.TW,0.0
00656R.TW,0.0
00657.TW,0.0
00657K.TW,0.0
00660.TW,0.0
00661.TW,0.0
00662.TW,0.0
00663L.TW,0.0
00664R.TW,0.0
00665L.TW,0.0
00666R.TW,0.0
00668.TW,0.0
00668K.TW,0.0
00669R.TW,0.0
00670L.TW,0.0
00671R.TW,0.0
00673R.TW,0.0
00674R.TW,0.0
00675L.TW,0.0
00676R.TW,0.0
00678.TW,0.0
00679B.TWO,0.0
00680L.TW,0.0
00681R.TW,0.0
00682U.TW,0.0
00683L.TW,0.0
00684R.TW,0.0
00685L.TW,0.0
00686R.TW,0.0
00687B.TWO,0.0
00687C.TWO,0.0
00688L.TW,0.0
00689R.TW,0.0
00690.TW,0.0
00692.TW,0.0
00693U.TW,0.0
00694B.TWO,0.0
00695B.TWO,0.0
00696B.TWO,0.0
00697B.TWO,0.0
00700.TW,0.0
00701.TW,0.0
00702.TW,0.0
00703.TW,0.0
00706L.TW,0.0
00707R.TW,0.0
00708L.TW,0.0
00709.TW,0.0
00710B.TW,0.0
00711B.TW,0.0
00712.TW,0.0
00713.TW,0.0
00714.TW,0.0
00715L.TW,0.0
00717.TW,0.0
00719B.TWO,0.0
00720B.TWO,0.0
